TreeID,Column,Row,TreeDeath,TreeDeathDate,TreePlantDate,TreeVarietyName
1850,A,44,1,7/1/2019,5/12/2016,Marsol
1852,A,46,1,7/1/2019,5/12/2016,Marsol
60,B,1,1,7/1/2019,10/17/2013,Colossal
1880,B,2,1,7/1/2019,5/12/2016,Colossal
65,B,6,1,7/1/2019,10/17/2013,Colossal
68,B,9,1,7/1/2019,10/17/2013,Colossal
76,B,17,1,7/1/2019,10/17/2013,Colossal
94,B,35,1,7/1/2019,10/17/2013,Colossal
97,B,38,1,7/1/2019,10/17/2013,Colossal
99,B,40,1,7/1/2019,10/17/2013,Colossal
100,B,41,1,7/1/2019,10/17/2013,Colossal
101,B,42,1,7/1/2019,10/17/2013,Colossal
1898,B,45,1,7/1/2019,5/12/2016,Colossal
1901,B,48,1,7/1/2019,5/12/2016,Colossal
4683,B,50,1,7/1/2019,5/12/2016,Colossal
111,B,52,1,7/1/2019,10/17/2013,Colossal
112,B,53,1,7/1/2019,10/17/2013,Colossal
113,B,54,1,7/1/2019,10/17/2013,Colossal
114,B,55,1,7/1/2019,10/17/2013,Colossal
115,B,56,1,7/1/2019,10/17/2013,Colossal
118,B,59,1,7/1/2019,10/17/2013,Colossal
124,B,65,1,7/1/2019,10/17/2013,Colossal
128,B,69,1,7/1/2019,10/17/2013,Colossal
146,B,87,1,7/1/2019,10/17/2013,Colossal
147,B,88,1,7/1/2019,10/17/2013,Colossal
149,B,90,1,7/1/2019,10/17/2013,Colossal
157,B,98,1,7/1/2019,10/17/2013,Colossal
159,B,100,1,7/1/2019,10/17/2013,Colossal
161,B,102,1,7/1/2019,10/17/2013,Colossal
4407,BB,15,1,7/1/2019,5/12/2018,Colossal
4468,BB,76,1,7/1/2019,5/12/2018,Colossal
4475,BB,83,1,7/1/2019,5/12/2018,Colossal
4484,BB,92,1,7/1/2019,5/12/2018,Colossal
187,C,11,1,6/1/2015,10/17/2013,Bouche de Betizac
210,C,34,1,7/1/2019,10/17/2013,Bouche de Betizac
223,C,47,1,7/1/2019,10/17/2013,Bouche de Betizac
284,C,108,1,7/1/2019,10/17/2013,Bouche de Betizac
286,C,110,1,7/1/2019,10/17/2013,Bouche de Betizac
291,C,115,1,6/12/2019,10/17/2013,Bouche de Betizac
4511,CC,6,1,7/1/2019,5/12/2018,Colossal
4944,CC,33,1,6/22/2019,6/15/2019,Colossal
4573,CC,68,1,6/12/2019,5/12/2018,Colossal
4960,CC,97,1,7/1/2019,6/15/2019,Colossal
1982,D,17,1,7/1/2019,5/12/2016,Colossal
409,D,116,1,7/1/2019,10/17/2013,Colossal
2030,D,117,1,7/1/2019,5/12/2016,Colossal
4616,DD,33,1,7/1/2019,5/12/2018,Colossal
4619,DD,36,1,7/1/2019,5/12/2018,Colossal
4640,DD,57,1,7/1/2019,5/12/2018,Colossal
4651,DD,68,1,7/1/2019,5/12/2018,Colossal
423,E,32,1,7/1/2019,10/17/2013,Labor Day
2058,E,59,1,7/1/2019,5/12/2016,Marsol
5507,EE,19,1,7/1/2019,6/21/2019,Maraval
5527,EE,39,1,7/1/2019,6/21/2019,Precoce Migoule
482,F,15,1,7/1/2019,10/17/2013,Colossal
494,F,27,1,7/1/2019,10/17/2013,Colossal
2119,F,50,1,7/1/2019,5/12/2016,Colossal
3222,F,56,1,7/1/2019,5/12/2017,Colossal
5029,FF,35,1,7/1/2019,6/21/2019,Colossal
5030,FF,36,1,7/1/2019,6/21/2019,Colossal
5045,FF,51,1,7/1/2019,6/21/2019,Colossal
5049,FF,55,1,7/1/2019,6/21/2019,Colossal
1126,G,9,1,7/1/2019,10/17/2014,Bouche de Betizac
4692,G,10,1,5/12/2018,5/12/2016,Bouche de Betizac
1148,G,31,1,7/1/2019,10/17/2014,Bouche de Betizac
2212,G,60,1,6/12/2019,5/12/2016,Bouche de Betizac
2213,G,61,1,7/1/2019,5/12/2016,Bouche de Betizac
2236,G,99,1,6/12/2019,5/12/2016,Bouche de Betizac
640,G,112,1,7/1/2019,10/17/2013,Bouche de Betizac
653,H,6,1,7/1/2019,10/17/2013,Colossal
657,H,10,1,7/1/2019,10/17/2013,Colossal
663,H,16,1,7/1/2019,10/17/2013,Colossal
671,H,24,1,7/1/2019,10/17/2013,Colossal
2269,H,64,1,7/1/2019,5/12/2016,Colossal
735,H,88,1,7/1/2019,10/17/2013,Colossal
737,H,90,1,7/1/2019,10/17/2013,Colossal
3246,H,112,1,7/1/2019,5/12/2017,Colossal
5126,HH,69,1,7/1/2019,6/21/2019,Colossal
3262,I,84,1,7/1/2019,5/12/2017,Labor Day
5165,II,45,1,7/1/2019,6/21/2019,Colossal
5183,II,63,1,7/1/2019,6/21/2019,Colossal
879,J,82,1,7/1/2019,10/17/2013,Colossal
884,J,87,1,7/1/2019,10/17/2013,Colossal
5659,JJ,45,1,7/1/2019,6/21/2019,Maraval
1269,K,6,1,6/12/2019,10/17/2014,Bouche de Betizac
1278,K,15,1,7/1/2019,10/17/2014,Bouche de Betizac
1279,K,16,1,7/1/2019,10/17/2014,Bouche de Betizac
1284,K,21,1,7/1/2019,10/17/2014,Bouche de Betizac
1285,K,22,1,7/1/2019,10/17/2014,Bouche de Betizac
2400,K,33,1,7/1/2019,5/12/2016,Bouche de Betizac
2414,K,52,1,6/12/2019,5/12/2016,Bouche de Betizac
2436,K,77,1,7/1/2019,5/12/2016,Bouche de Betizac
5225,KK,42,1,7/1/2019,6/21/2019,Colossal
5235,KK,52,1,7/1/2019,6/21/2019,Colossal
5255,KK,72,1,7/1/2019,6/21/2019,Colossal
954,L,75,1,7/1/2019,10/17/2013,Colossal
957,L,78,1,7/1/2019,10/17/2013,Colossal
965,L,86,1,7/1/2019,10/17/2013,Colossal
5314,LL,69,1,7/1/2019,6/21/2019,Colossal
1414,M,31,1,5/12/2016,10/17/2014,Precoce Migoule
1584,N,81,1,7/1/2019,10/17/2014,Marsol
1588,N,85,1,7/1/2019,10/17/2014,Marsol
1627,O,62,1,7/1/2019,10/17/2014,Bouche de Betizac
2645,O,80,1,7/1/2019,5/12/2016,Bouche de Betizac
5381,OO,31,1,7/1/2019,6/21/2019,Colossal
5397,OO,47,1,7/1/2019,6/21/2019,Colossal
5405,OO,55,1,7/1/2019,6/21/2019,Colossal
2776,Q,3,1,7/1/2019,5/12/2016,Bouche de Betizac
2780,Q,7,1,5/12/2018,5/12/2016,Bouche de Betizac
3394,Q,10,1,9/1/2017,5/12/2017,Bouche de Betizac
3395,Q,12,1,9/1/2017,5/12/2017,Bouche de Betizac
2785,Q,14,1,6/12/2019,5/12/2016,Bouche de Betizac
2786,Q,15,1,9/1/2016,5/12/2016,Bouche de Betizac
2791,Q,21,1,9/1/2017,5/12/2016,Bouche de Betizac
2795,Q,25,1,9/1/2017,5/12/2016,Bouche de Betizac
3398,Q,29,1,9/1/2017,5/12/2017,Bouche de Betizac
2803,Q,34,1,7/1/2019,5/12/2016,Bouche de Betizac
2805,Q,36,1,7/1/2019,5/12/2016,Bouche de Betizac
2809,Q,40,1,5/12/2018,5/12/2016,Bouche de Betizac
2814,Q,45,1,5/12/2018,5/12/2016,Bouche de Betizac
2816,Q,47,1,9/1/2017,5/12/2016,Bouche de Betizac
2817,Q,48,1,7/1/2019,5/12/2016,Bouche de Betizac
2822,Q,53,1,9/1/2017,5/12/2016,Bouche de Betizac
2827,Q,58,1,7/1/2019,5/12/2016,Bouche de Betizac
2830,Q,61,1,6/12/2019,5/12/2016,Bouche de Betizac
3402,Q,62,1,9/1/2017,5/12/2017,Bouche de Betizac
3403,Q,63,1,9/1/2017,5/12/2017,Bouche de Betizac
2840,Q,74,1,7/1/2019,5/12/2016,Bouche de Betizac
2841,Q,75,1,9/1/2016,5/12/2016,Bouche de Betizac
2843,Q,77,1,7/1/2019,5/12/2016,Bouche de Betizac
2847,Q,81,1,7/1/2019,5/12/2016,Bouche de Betizac
2850,Q,84,1,9/1/2016,5/12/2016,Bouche de Betizac
2851,Q,85,1,9/1/2016,5/12/2016,Bouche de Betizac
2854,Q,88,1,6/12/2019,5/12/2016,Bouche de Betizac
4112,R,81,1,7/1/2019,5/12/2018,Maraval
4835,S,90,1,7/1/2019,6/15/2019,Colossal
3482,T,5,1,7/1/2019,5/12/2017,Colossal
4164,T,14,1,7/1/2019,5/12/2018,Colossal
3500,T,23,1,7/1/2019,5/12/2017,Colossal
3511,T,34,1,7/1/2019,5/12/2017,Colossal
3517,T,40,1,7/1/2019,5/12/2017,Colossal
3520,T,43,1,7/1/2019,5/12/2017,Colossal
3532,T,55,1,7/1/2019,5/12/2017,Colossal
3533,T,56,1,7/1/2019,5/12/2017,Colossal
3976,T,85,1,7/1/2019,5/12/2017,Colossal
3994,T,103,1,7/1/2019,5/12/2017,Colossal
3003,U,2,1,7/1/2019,5/12/2016,Marigoule
4014,U,25,1,9/1/2017,5/12/2017,Marsol
3078,U,82,1,7/1/2019,5/12/2016,Marigoule
4239,V,82,1,7/1/2019,5/12/2018,Maraval
3579,W,40,1,7/1/2019,5/12/2017,Colossal
3587,W,48,1,7/1/2019,5/12/2017,Colossal
3615,W,76,1,7/1/2019,5/12/2017,Colossal
3656,X,5,1,7/1/2019,5/12/2017,Colossal
3734,X,83,1,7/1/2019,5/12/2017,Colossal
3735,X,84,1,7/1/2019,5/12/2017,Colossal
3736,X,85,1,7/1/2019,5/12/2017,Colossal
3754,X,103,1,7/1/2019,5/12/2017,Colossal
3846,Y,83,1,7/1/2019,5/12/2017,Colossal
3849,Y,86,1,7/1/2019,5/12/2017,Colossal
3888,Z,13,1,7/1/2019,5/12/2017,Colossal
3943,Z,68,1,7/1/2019,5/12/2017,Colossal
3945,Z,70,1,7/1/2019,5/12/2017,Colossal
3946,Z,71,1,7/1/2019,5/12/2017,Colossal
1727,ZZZ,1,1,9/1/2016,10/17/2014,Marsol
1787,ZZZ,61,1,9/1/2016,10/17/2014,Bouche de Betizac
1788,ZZZ,62,1,9/1/2016,10/17/2014,Bouche de Betizac
1789,ZZZ,63,1,9/1/2016,10/17/2014,Bouche de Betizac
1704,ZZZ,94,1,6/1/2014,10/17/2013,Precoce Migoule
1705,ZZZ,95,1,9/1/2016,10/17/2013,Precoce Migoule
1706,ZZZ,96,1,6/1/2014,10/17/2013,Precoce Migoule
1711,ZZZ,101,1,6/1/2014,10/17/2013,Precoce Migoule
1715,ZZZ,105,1,6/1/2014,10/17/2013,Precoce Migoule
1718,ZZZ,108,1,6/1/2014,10/17/2013,Precoce Migoule
1719,ZZZ,109,1,6/1/2014,10/17/2013,Precoce Migoule
1720,ZZZ,110,1,6/1/2014,10/17/2013,Precoce Migoule
1721,ZZZ,111,1,6/1/2014,10/17/2013,Precoce Migoule
1722,ZZZ,112,1,6/1/2014,10/17/2013,Precoce Migoule
1724,ZZZ,114,1,6/1/2014,10/17/2013,Precoce Migoule
